Silhouette,Fit,Front Neckline and Straps Shape,Front Neckline and Straps Depth,Front Neckline and Straps Detailing Style,Sleeve Fit and Style,Sleeve Length,Sleeve Detailing Style,Waist Style,Length,Hem Style,Pattern,Occasions,Persona,Predominant Colors,Background Color,product_id
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['blue', 'green', 'pink']",white,7268829790301
A-line,Loose,Square neck with short sleeves,Medium,Gathered at the bust,Puffed sleeves,Short,Puffed at the shoulders,Fitted at the natural waist,Midi,Straight,Tropical fruit and floral print,"This vibrant, tropical-inspired dress is perfect for summer events, beach vacations, or casual outings. It can be dressed up with statement jewelry and heels for a night out or kept casual with sandals and a straw bag for a beach day.","The buyer persona for this dress is a woman in her 20s to 30s who loves bold, colorful fashion. She is adventurous, stylish, and not afraid to stand out in a crowd.","['orange', 'green', 'pink']",N/A,7268851482717
Fit and flare,Fitted,Sweetheart neckline with wide straps,Medium,None,Sleeveless,N/A,N/A,Fitted at the natural waist,Maxi,Ruffled,Floral embroidery,"This stunning maxi dress is perfect for formal events, evening parties, or special occasions. Its intricate floral embroidery and elegant silhouette make it a showstopper. Pair it with statement jewelry and high heels to elevate the look.","The buyer persona for this dress is a woman in her 30s to 40s who appreciates luxury and sophistication. She enjoys dressing up for special occasions and values timeless, high-quality pieces in her wardrobe.","['orange', 'pink']",N/A,7268815339613
Fit and flare,Fitted,Halter neck with star-shaped cutout,Deep,N/A,Sleeveless,N/A,N/A,Fitted at the natural waist with a tie,Midi,Straight,Starburst print,"This captivating dress is perfect for summer events, beach parties, or tropical vacations. Its vibrant colors and unique design make it a standout piece that commands attention.","The buyer persona for this dress is a woman in her 20s or 30s who is confident, stylish, and loves to make a statement with her clothing. She is adventurous and gravitates towards bold, eye-catching fashion choices.","['orange', 'yellow']",N/A,7268907778141
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['yellow', 'orange', 'pink']",N/A,7268932255837
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['yellow', 'blue', 'pink']",N/A,7268784668765
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Maxi,Straight,Floral print,"This floral maxi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['blue', 'green', 'pink']",N/A,7268817272925
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['blue', 'green', 'pink']",white,7268852367453
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['blue', 'green', 'pink']",white,7253501018205
A-line,Loose,"Scoop neck with short, puffed sleeves",Shallow,None,Puffed,Short,None,Cinched at the natural waist with a belt,Mini,Straight,Floral print,"This mini dress with a floral print is perfect for summer outings, casual parties, or even as a beach cover-up. It can be dressed up with heels and a statement necklace or kept casual with sandals and a straw bag.","The buyer persona for this dress is a woman in her 20s or 30s who loves vibrant colors and playful patterns. She is confident, stylish, and always looking for pieces that make a statement.","['blue', 'pink', 'green']",N/A,7253495611485
A-line,Loose,Square neck with thin straps,Shallow,None,Sleeveless,N/A,N/A,Gathered at the natural waist with a tie,Maxi,Straight,Floral print,"This maxi dress is ideal for beach getaways, tropical vacations, or summer outings. Its vibrant floral print and lightweight fabric make it perfect for warm weather. Pair it with a wide-brimmed hat, sunglasses, and sandals for a chic, effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who loves to travel and embrace a carefree, bohemian style. She values comfort and versatility in her wardrobe and often seeks pieces that can be dressed up or down effortlessly.","['blue', 'pink', 'green']",N/A,7253507670109
A-line,Loose,V-neck with thin straps,Medium,3D floral applique,Sleeveless,N/A,N/A,Cinched at the natural waist,Maxi,Straight,Floral,"This stunning maxi dress is perfect for formal events, evening parties, or special occasions. Its unique design and vibrant colors make it a show-stopper. Pair it with statement earrings and high heels for a glamorous look.",The buyer persona for this dress is a woman in her late 20s to early 40s who is confident and fashion-forward. She appreciates bold designs and isn't afraid to stand out in a crowd. She leads an active social life and enjoys dressing up for special events.,"['yellow', 'red', 'green']",N/A,7268816945245
A-line,Loose,Off-the-shoulder with balloon sleeves,Deep,Eyelet embroidery,Puffed,Long,Eyelet embroidery,Fitted at the natural waist,Maxi,Straight,Eyelet embroidery,"This elegant, off-the-shoulder maxi dress is perfect for formal events, evening parties, and special occasions. Its intricate embroidery and loose A-line silhouette make it a sophisticated choice for any sophisticated gathering.",The buyer persona for this dress is a woman in her late 20s to early 40s who appreciates timeless fashion and elegance. She is likely to have a refined sense of style and values quality craftsmanship.,"['white', 'cream']",N/A,7268836573277
A-line,Loose,Straight across with thin straps,Shallow,Embroidered fruit and banana applique,Sleeveless,N/A,N/A,"Loose, slightly gathered at the waist",Maxi,Straight,Embroidered fruit and banana applique,"This playful maxi dress is perfect for summer events, beach getaways, or casual outings. The vibrant embroidery adds a touch of whimsy, making it a great choice for those who love to stand out. Pair it with sandals or espadrilles for a relaxed, bohemian look.","The buyer persona for this dress is a woman in her 20s or 30s who appreciates unique, eye-catching fashion. She is likely to be creative, adventurous, and gravitate towards pieces that reflect her personality. This dress is ideal for her because it allows her to express her individuality while staying comfortable and stylish.","['white', 'green', 'pink', 'yellow']",N/A,7268840964189
A-line,Loose,V-neck with short sleeves,Shallow,None,"Loose, slightly puffed at the shoulders",Short,None,"Loose, with a tie-up belt",Midi,Straight,Multicolored tropical fruit and banana print,"This vibrant, tropical-themed dress is perfect for summer events, beach vacations, or casual outings. It can be dressed up with heels and a statement necklace or kept casual with sandals and a straw bag.","The buyer persona for this dress is a woman in her 20s or 30s who loves bold, colorful fashion. She is playful, adventurous, and always looking for unique pieces that reflect her personality.","['yellow', 'green', 'pink', 'white']",N/A,7268798201949
A-line,Loose,Scoop neck with short sleeves,Shallow,Embroidered floral details,Puffed sleeves with elastic cuffs,Short,Embroidered floral details,Fitted with a self-tie belt,Midi,Ruffle,Embroidered floral,"This embroidered floral dress is perfect for summer events, such as garden parties, outdoor weddings, or brunches. It can be dressed up with heels and a clutch or dressed down with sandals and a straw bag.","The buyer persona for this dress is a woman in her late 20s to early 40s who appreciates unique, bohemian fashion. She is drawn to pieces that are both stylish and comfortable, and she loves to stand out from the crowd.","['white', 'red', 'green']",N/A,7268792991837
A-line,Loose,Scalloped square neck with thin straps,Medium,Embroidered and scalloped edges,Sleeveless,N/A,N/A,Fitted at the natural waist with a cutout,Midi,Scalloped,Embroidered floral and fruit motifs,"This intricately embroidered midi dress is perfect for special occasions like garden parties, outdoor weddings, or tropical vacations. Its vibrant colors and playful design call for minimal accessories and simple footwear to create a chic and effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who appreciates unique, bohemian fashion. She loves to stand out in colorful, statement pieces that reflect her free-spirited personality.","['white', 'green', 'pink']",N/A,7268866949213
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Maxi,Straight,Multicolor embroidery,"This embroidered maxi dress is perfect for beach parties, tropical vacations, or summer soirees. Its vibrant colors and flowy silhouette make it a great choice for warm weather events. Pair it with chunky espadrille sandals and a woven tote bag for a relaxed, boho-chic look.","The buyer persona for this dress is a woman in her late 20s to early 40s who loves vibrant colors and carefree fashion. She enjoys traveling, exploring new cultures, and embracing a bohemian aesthetic in her wardrobe choices.","['white', 'blue', 'green', 'pink', 'yellow']",N/A,7268792696925
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['yellow', 'white']",N/A,7268813471837
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['pink', 'green', 'blue']",N/A,7268860461149
A-line,Loose,V-neck with thin straps,Deep,Ruffle trim,"Loose, with slight gathers at the shoulders",Long,Ruffle trim at the cuffs,Empire,Maxi,"Asymmetrical, with a longer back hem",Tropical leaf print,"This tropical maxi dress is perfect for beach vacations, summer parties, or any occasion where you want to feel relaxed and stylish. Pair it with a wide-brimmed hat and sandals for a chic, effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who loves to travel and explore new places. She is adventurous, stylish, and always looking for pieces that can take her from day to night effortlessly.","['green', 'yellow', 'pink']",N/A,7268917968989
A-line,Loose,"V-neck with short, puffed sleeves",Shallow,None,Puffed,Short,Ruffle at the cuff,Cinched at the natural waist with a self-tie belt,Midi,Straight,"Tropical print with banana leaves, flowers, and leopards","This tropical-inspired midi dress is perfect for summer events, vacations, and casual outings. It can be dressed up with heels and statement jewelry or dressed down with sandals and a straw bag for a relaxed, beachy look.","The buyer persona for this dress is a woman in her 20s to 30s who loves vibrant colors and playful prints. She is adventurous, fashion-forward, and enjoys expressing her personality through her clothing choices.","['pink', 'green', 'yellow']",N/A,7268819992669
A-line,Loose,Halter neck,Low,Thin straps with a tie closure,Sleeveless,N/A,N/A,Gathered at the waist with a tie,Maxi,Ruffle,Tropical print,"This tropical maxi halter dress is perfect for summer events, beach vacations, or any occasion where a relaxed yet chic look is desired. It can be dressed up with statement earrings and heels or dressed down with sandals and a beach bag.","The buyer persona for this dress is a woman in her 20s or 30s who loves vibrant colors and tropical prints. She is adventurous, stylish, and always looking for pieces that make a statement.","['pink', 'green']",N/A,7268886708317
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['pink', 'orange', 'green']",N/A,7268884021341
A-line,Loose,Off-the-shoulder with balloon sleeves,Medium,Gathered neckline with a drawstring tie,Balloon sleeves,Three-quarter,Puffed sleeves with elastic cuffs,"Loose, slightly gathered at the waist",Mini,Ruffle hem,Tropical print,"This tropical-inspired mini dress is perfect for summer outings, beach vacations, or casual weekend wear. It can be dressed up with statement earrings and sandals for a beach party or paired with a denim jacket and sneakers for a relaxed, everyday look.","The buyer persona for this dress is a young woman in her 20s who loves vibrant colors and playful styles. She is confident, adventurous, and always looking for pieces that reflect her personality and sense of fun.","['pink', 'orange', 'green']",N/A,7268791091293
A-line,Loose,One-shoulder,Low,Plain,Sleeveless,N/A,N/A,Gathered at the natural waist,Maxi,Ruffle,Floral embroidery,"This embroidered maxi dress is perfect for special events, such as beach parties, tropical vacations, or evening soirees. It pairs well with statement earrings and strappy sandals for a chic, summery look.","The buyer persona for this dress is a woman in her late 20s to early 40s who loves bohemian fashion and embraces a carefree lifestyle. She prefers flowy, feminine pieces that make her feel confident and stylish.","['purple', 'white']",beige,7268856987741
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['blue', 'green', 'pink']",white,7268817469533
A-line,Loose,Halter neck with thin straps,Deep,Gathered fabric,Sleeveless,N/A,N/A,Gathered at the natural waist,Maxi,Straight,Tropical floral print,"This maxi halter dress is perfect for beach getaways, tropical vacations, or summer parties. It can be dressed up with statement earrings and heels for a night out or kept casual with sandals and a beach bag for a day in the sun.",The buyer persona for this dress is a woman in her 20s to 30s who loves vibrant colors and boho-chic style. She's always looking for pieces that make her feel confident and stand out from the crowd.,"['pink', 'green', 'yellow']",N/A,7268822515805
A-line,Loose,V-neck with kimono sleeves,Deep,None,"Loose, kimono-style",Three-quarter,None,Cinched at the natural waist with a self-tie belt,Maxi,Asymmetrical,Abstract floral print,"This maxi dress with its vibrant print is perfect for beach vacations, tropical getaways, or even as a statement piece for a summer party. It can be dressed up with heels and a clutch or kept casual with sandals and a straw bag.","The buyer persona for this dress is a woman in her 30s to 40s who loves bold, eye-catching fashion. She is confident and adventurous in her style choices and enjoys wearing unique pieces that make a statement.","['red', 'blue', 'green']",N/A,7253492826205
A-line,Loose,Sweetheart neckline with thin straps,Medium,None,Sleeveless,N/A,N/A,Fitted at the natural waist,Mini,Straight,Tropical print,"This tropical-print mini dress is perfect for summer outings, beach vacations, or casual parties. It can be dressed up with heels and a statement necklace or kept casual with sandals and a straw bag.","The buyer persona for this dress is a woman in her 20s to 30s who loves vibrant colors and playful patterns. She's confident, adventurous, and always looking for pieces that reflect her personality.","['black', 'green', 'orange']",N/A,7253428797533
A-line,Loose,Scoop neck with wide straps,Shallow,None,Sleeveless,N/A,N/A,"Loose, empire waist",Maxi,Straight,Solid,"This solid-colored maxi dress is versatile and can be dressed up or down, making it suitable for various occasions. It can be worn for casual outings, beach days, or even semi-formal events. Accessorize with a statement necklace or earrings to elevate the look.","The buyer persona for this dress is a woman in her 30s to 40s who values comfort and versatility. She prefers classic, minimalistic pieces that can be easily dressed up or down depending on the occasion.",['beige'],beige,7268827234397
A-line,Loose,Sweetheart neckline with thin straps,Deep,Embroidered lace,Sleeveless,N/A,N/A,Fitted at the natural waist,Midi,Ruffled,Eyelet embroidery,"This white eyelet embroidery dress is perfect for summer events like beach parties, resort wear, or even as a wedding guest outfit. Its delicate detailing and flowy silhouette make it a great choice for warm-weather occasions.","The buyer persona for this dress is a woman in her late 20s to early 30s who loves romantic, boho-chic styles. She appreciates high-quality, artisanal pieces that make her stand out in a crowd.",['white'],N/A,7268906041437
A-line,Loose,Square neck with thin straps,Shallow,None,Sleeveless,N/A,N/A,Fitted at the natural waist with smocking,Midi,Ruffle,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['white', 'pink', 'green']",N/A,7268863475805
A-line,Loose,V-neck with balloon sleeves,Deep,None,Balloon sleeves,Long,None,Cinched at the natural waist with a tie,Maxi,Straight,Tropical print,"This tropical maxi dress is perfect for beach vacations, summer parties, or any occasion where you want to make a statement. It can be dressed up with heels and a clutch or dressed down with sandals and a straw bag.","The buyer persona for this dress is a woman in her 20s or 30s who loves to travel and explore new places. She is adventurous, stylish, and always looking for the next best thing.","['green', 'blue', 'orange']",N/A,7268790927453
A-line,Loose,Square neck with short puff sleeves,Shallow,None,Puffed,Short,None,Fitted at the natural waist,Midi,Ruffle,Tropical floral print,"This tropical-inspired midi dress is perfect for summer events, beach getaways, or casual outings. It can be dressed up with statement jewelry and heels for a night out or kept relaxed with sandals and a straw bag for a beach day.","The buyer persona for this dress is a woman in her 20s to 30s who loves vibrant colors and playful prints. She is confident, adventurous, and always looking for pieces that make her stand out.","['green', 'pink', 'orange']",N/A,7268813144157
A-line,Loose,Halter neck with a low back,Deep,Gathered fabric,Sleeveless,N/A,N/A,Fitted at the natural waist with a tie,Midi,Straight with a side slit,Tropical print,"This tropical-inspired midi dress is perfect for summer events, vacations, or casual outings. It can be dressed up with statement jewelry and heels for a night out or kept casual with sandals and a beach bag for a day in the sun.","The buyer persona for this dress is a woman in her 20s or 30s who loves vibrant colors and playful prints. She is confident, adventurous, and always looking for pieces that make a statement.","['yellow', 'green', 'pink']",N/A,7268888150109
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['blue', 'green', 'pink']",white,7268836507741
Asymmetrical,Loose,One-shoulder with a draped scarf-like piece,Medium,Fringe trim on the scarf-like piece,"One long, loose sleeve with a slit near the wrist",Long,Fringe trim at the bottom,Gathered at the natural waist with a self-tie belt,Midi,"Asymmetrical, with a longer side slit",Tropical print with floral and palm tree motifs,"This tropical-inspired dress is perfect for beach parties, summer vacations, or any occasion where you want a relaxed, boho-chic look. It can be dressed up with statement jewelry and heels or kept casual with sandals and a straw bag.","The buyer persona for this dress is a woman in her 20s or 30s who loves vibrant colors and unique fashion. She is confident, adventurous, and always looking for pieces that make a statement.","['pink', 'green', 'blue']",N/A,7268829659229
A-line,Loose,Square neck with thin straps,Shallow,Gathered fabric at the neckline,Sleeveless,N/A,N/A,"Loose, slightly gathered at the waist",Maxi,Straight,Tropical floral print,"This tropical maxi dress is perfect for summer events, beach vacations, or casual outings. It can be dressed up with statement jewelry and heels for a night out or kept casual with sandals and a straw bag for a beach day.","The buyer persona for this dress is a woman in her 20s to 30s who loves vibrant colors and boho-chic style. She is confident, adventurous, and always looking for pieces that make a statement.","['orange', 'purple', 'green']",N/A,7268812652637
A-line,Loose,Scoop neck with thin straps,Shallow,None,Sleeveless,N/A,N/A,"Loose, with a slightly dropped waist",Maxi,Ruffle,Tropical print,"This tropical maxi dress is perfect for beach vacations, summer outings, or casual events. It can be dressed up with heels and a statement necklace for a more formal look or paired with sandals and a straw bag for a relaxed, beachy vibe.","The buyer persona for this dress is a woman in her 20s or 30s who loves vibrant colors and carefree styles. She enjoys traveling, exploring new places, and embracing a laid-back lifestyle.","['orange', 'white', 'green']",N/A,7268814913629
Fitted,Fitted,"Square neck with short, puffed sleeves",Medium,None,Puffed,Short,Eyelet embroidery,Fitted at the natural waist,Mini,Straight,Eyelet embroidery,"This eyelet embroidered mini dress is perfect for summer outings, beach parties, or casual events. It can be dressed up with statement earrings and heels or kept casual with sandals and a straw bag.","The buyer persona for this dress is a woman in her 20s to early 30s who loves feminine, trendy styles. She enjoys wearing unique pieces that make a statement and is always on the lookout for the latest fashion trends.",['yellow'],N/A,7268817207389
A-line,Loose,Square neck with thin straps,Medium,Embroidered lace,Sleeveless,N/A,N/A,"Loose, natural waistline",Maxi,Straight,Embroidered floral,"This elegant maxi dress is perfect for special occasions like beach parties, summer weddings, and evening soirees. Its intricate embroidery and flowy silhouette make it a standout piece that requires minimal accessories. Pair it with heeled sandals and a clutch for a chic, effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who appreciates bohemian and romantic styles. She seeks unique, eye-catching pieces that make a statement without compromising comfort.","['white', 'off-white']",beige,7268795056221
A-line,Loose,"V-neck with short, puffed sleeves",Deep,Embroidery,Puffed,Short,Embroidery,Cut-out at the natural waist,Midi,Scalloped,Embroidered floral,"This embroidered midi dress is perfect for summer events, vacations, and special occasions. It can be dressed up with heels and a statement necklace or dressed down with sandals and a straw bag for a more casual look.","The buyer persona for this dress is a woman in her late 20s to early 30s who appreciates unique, bohemian fashion. She loves to travel and explore new cultures, and her wardrobe reflects her adventurous spirit.","['blue', 'white']",N/A,7268810686557
A-line,Loose,"Square neck with short, puffed sleeves",Shallow,None,Puffed,Short,None,Fitted at the natural waist,Maxi,Ruffle,Portuguese tile pattern,"This Portuguese tile maxi dress is perfect for summer events, vacations, and casual outings. It can be dressed up with heels and a statement necklace for a night out or dressed down with sandals and a straw bag for a beach day.","The buyer persona for this dress is a woman in her 30s to 40s who loves to travel and explore new cultures. She has a bohemian spirit and appreciates unique, eye-catching pieces that reflect her personality.","['blue', 'white']",N/A,7268803903581
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['blue', 'green', 'pink']",N/A,7268868292701
A-line,Loose,One-shoulder with a ruffled strap,Medium,Plain,Sleeveless,N/A,N/A,Gathered with a self-tie belt,Midi,Straight,Solid,"This versatile dress is suitable for various occasions, from casual outings to semi-formal events. It can be dressed up with heels and statement jewelry for a night out or paired with sandals and a denim jacket for a relaxed, daytime look.","The buyer persona for this dress is a woman in her late 20s to early 40s who appreciates timeless, effortless fashion. She values quality materials and construction and seeks pieces that can be styled in multiple ways.",['blue'],N/A,7268799250525
A-line,Loose,Round neckline with shoulder pads,Shallow,None,Sleeveless,N/A,N/A,Drawstring waist,Mini,Straight,Tropical leaf print,"This tropical print mini dress is perfect for summer outings, beach vacations, or casual weekend wear. It can be dressed up with heels and a statement necklace for a night out or kept casual with sandals and a straw bag for daytime activities.","The buyer persona for this dress is a woman in her 20s to 30s who loves vibrant colors and playful patterns. She is confident, stylish, and always looking for pieces that make a statement.","['green', 'white', 'yellow']",N/A,7253498822749
A-line,Loose,V-neck with thin straps,Medium,None,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Straight,Tropical print,"This tropical-print midi dress is perfect for summer events, beach vacations, or casual outings. It can be dressed up with heels and a statement necklace for a night out or paired with sandals and a straw bag for a relaxed daytime look.","The buyer persona for this dress is a woman in her 20s to 30s who loves vibrant colors and tropical patterns. She is adventurous, stylish, and always looking for pieces that make a statement.","['green', 'pink', 'orange']",N/A,7253503377501
A-line,Loose,Sweetheart neckline with thin straps,Medium,None,Sleeveless,N/A,N/A,Fitted at the natural waist,Maxi,Ruffle,Tropical print,"This tropical maxi dress is perfect for beach vacations, summer parties, or any occasion where you want to exude a relaxed,度假氛围. It can be dressed up with statement jewelry and heels or dressed down with a denim jacket and sandals.","The buyer persona for this dress is a woman in her 20s or 30s who loves to travel and explore new cultures. She has a vibrant personality and enjoys wearing unique, eye-catching pieces that reflect her adventurous spirit.","['green', 'pink', 'white']",N/A,7253487091805
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Maxi,Straight,Tropical floral print,"This tropical maxi dress is perfect for summer events, beach vacations, or resort wear. It can be dressed up with statement jewelry and heels for a night out or dressed down with sandals and a beach bag for a relaxed, boho-chic look.","The buyer persona for this dress is a woman in her late 20s to early 40s who loves vibrant, bohemian fashion. She enjoys traveling and embraces a carefree, adventurous lifestyle.","['pink', 'green', 'blue']",N/A,7268798038109
A-line,Loose,V-neck with wide straps,Deep,Cut-out,Sleeveless,N/A,N/A,Cinched at the natural waist,Midi,Ruffle,Solid,"This solid-colored midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.",['pink'],N/A,7268911972445
A-line,Loose,"V-neck with short, puffed sleeves",Deep,None,"Loose, puffed sleeves",Short,None,Fitted at the natural waist,Midi,Straight,Floral print,"This floral midi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['red', 'pink', 'orange']",N/A,7268797775965
A-line,Loose,High Victorian-style collar with short sleeves,High,None,"Loose, bell-shaped sleeves",Three-quarter,Ruffle at the end of the sleeves,Cinched at the natural waist with a fabric belt,Mini,Ruffle,Multicolor floral print,"This vibrant, mini dress is perfect for summer events, such as beach parties, tropical vacations, or outdoor music festivals. It can be paired with chunky sandals or bold espadrille wedges for a playful and trendy look.","The buyer persona for this dress is a young woman in her early 20s who loves bold colors and unique fashion statements. She is confident and adventurous, seeking pieces that reflect her vibrant personality.","['red', 'orange', 'yellow', 'green', 'blue']",N/A,7268790075485
A-line,Loose,V-neck with short sleeves,Medium,Gathered,Puffed,Three-quarter,None,Smocked waist,Mini,Ruffle,Floral print,"This colorful, lightweight dress is perfect for summer outings, beach days, or casual gatherings. It can be dressed up with heels and a statement necklace or kept casual with sandals and a straw bag.","The buyer persona for this dress is a woman in her 20s or 30s who loves vibrant colors and playful styles. She's confident, adventurous, and always looking for pieces that make a statement.","['yellow', 'orange', 'blue']",N/A,7268805279837
A-line,Loose,V-neck with thin straps,Medium,Lace trimming,Sleeveless,N/A,N/A,Cinched at the natural waist,Maxi,Straight,Floral print,"This floral maxi dress is ideal for events such as garden parties, casual weddings, or daytime outings. It pairs well with light, elegant accessories and comfortable footwear for a stylish yet effortless look.","The buyer persona for this dress is a woman in her late 20s to early 40s who values elegance and simplicity. She prefers versatile, feminine pieces that can transition smoothly from casual to semi-formal occasions.","['yellow', 'green', 'pink']",N/A,7268838047837
